"PREMIO","SORTEO","NUMERO","SERIE"
"SECO 100 MM","5033","2736","115"
"SECO 50 MM","5033","9940","280"
"SECO 50 MM","5033","8892","158"
"SECO 50 MM","5033","4845","328"
"SECO 50 MM","5033","6073","56"
"SECO 50 MM","5033","1019","271"
"SECO 50 MM","5033","5946","137"
"SECO 50 MM","5033","9990","68"
"SECO 10 MM","5033","2177","180"
"SECO 10 MM","5033","3019","303"
"SECO 10 MM","5033","9050","355"
"SECO 20 MM","5033","1340","253"
"SECO 20 MM","5033","3367","3"
"SECO 20 MM","5033","3365","281"
"SECO 20 MM","5033","7438","347"
"SECO 20 MM","5033","5142","322"
"SECO 20 MM","5033","5902","306"
"SECO 20 MM","5033","4943","180"
"SECO 20 MM","5033","6226","25"
"SECO 20 MM","5033","6549","260"
"SECO 20 MM","5033","9811","81"
"SECO 20 MM","5033","0690","344"
"SECO 50 MM","5033","7238","20"
"SECO 20 MM","5033","5899","168"
"SECO 20 MM","5033","6991","107"
"SECO 5 MM","5033","8582","339"
"SECO 5 MM","5033","0142","257"
"SECO 5 MM","5033","5506","346"
"SECO 5 MM","5033","3633","143"
"SECO 5 MM","5033","7558","42"
"SECO 5 MM","5033","1918","55"
"SECO 5 MM","5033","9328","274"
"SECO 10 MM","5033","0221","374"
"SECO 10 MM","5033","9259","241"
"SECO 10 MM","5033","3150","34"
"SECO 10 MM","5033","0219","275"
"SECO 10 MM","5033","3210","3"
"SECO 10 MM","5033","6585","135"
"SECO 10 MM","5033","5965","342"
"SECO 10 MM","5033","4199","342"
"SECO 10 MM","5033","7081","286"
"SECO 10 MM","5033","0935","111"
"SECO 10 MM","5033","8830","326"
"SECO 5 MM","5033","0977","167"
"SECO 5 MM","5033","3752","301"
"SECO 5 MM","5033","7576","328"
"SECO 5 MM","5033","2517","153"
"SECO 5 MM","5033","7522","286"
"SECO 5 MM","5033","0353","178"
"SECO 5 MM","5033","0863","55"
"SECO 200 MM","5033","2994","298"
"SECO 200 MM","5033","1013","238"
"SECO 50 MM","5033","8672","129"
"SECO 100 MM","5033","6799","75"
"SECO 10 MM","5033","0862","68"
"SECO 20 MM","5033","1870","118"
"SECO 20 MM","5033","0679","84"
"SECO 5 MM","5033","5406","189"
"SECO 10 MM","5033","2169","286"
"SECO 10 MM","5033","0185","88"
"SECO 5 MM","5033","6659","274"
"SECO 5 MM","5033","2086","367"
"SECO 5 MM","5033","6032","295"
"SECO 5 MM","5033","1268","24"
"SECO 5 MM","5033","0571","173"
"SECO 200 MM","5034","0094","210"
"SECO 100 MM","5034","0419","94"
"SECO 100 MM","5034","3794","3"
"SECO 100 MM","5034","6161","316"
"SECO 100 MM","5034","1474","168"
"SECO 100 MM","5034","6019","290"
"SECO 100 MM","5034","8372","171"
"SECO 50 MM","5034","6664","136"
"SECO 50 MM","5034","0078","138"
"SECO 100 MM","5034","3071","5"
"SECO 50 MM","5034","4060","75"
"SECO 50 MM","5034","9161","213"
"SECO 50 MM","5034","0737","286"
"SECO 50 MM","5034","9760","294"
"SECO 50 MM","5034","4750","227"
"SECO 50 MM","5034","4590","352"
"SECO 50 MM","5034","2682","176"
"SECO 50 MM","5034","6936","5"
"PREMIO MAYOR","5034","1984","65"
"SECO 500 MM","5034","2734","344"
"SECO 20 MM","5034","5209","1"
"SECO 20 MM","5034","1908","137"
"SECO 20 MM","5034","5253","192"
"SECO 20 MM","5034","7111","300"
"SECO 20 MM","5034","1838","249"
"SECO 5 MM","5034","7343","169"
"SECO 5 MM","5034","7835","142"
"SECO 5 MM","5034","5436","346"
"SECO 5 MM","5034","4113","62"
"SECO 5 MM","5034","2270","219"
"SECO 5 MM","5034","3753","234"
"SECO 5 MM","5034","8922","298"
"SECO 5 MM","5034","2517","321"
"SECO 5 MM","5034","5873","329"
"SECO 5 MM","5034","7138","346"
"SECO 5 MM","5034","2566","241"
"SECO 5 MM","5034","5601","35"
"SECO 5 MM","5034","7208","20"
"SECO 5 MM","5034","4573","312"
"SECO 5 MM","5034","3443","321"
"SECO 5 MM","5034","2635","204"
"SECO 5 MM","5034","6770","280"
"SECO 5 MM","5034","8005","188"
"SECO 5 MM","5034","9495","156"
"SECO 10 MM","5034","4695","128"
"SECO 20 MM","5034","5341","159"
"SECO 10 MM","5034","0418","109"
"SECO 5 MM","5034","3756","253"
"SECO 10 MM","5034","9209","360"
"SECO 10 MM","5034","7820","260"
"SECO 20 MM","5034","1468","88"
"SECO 10 MM","5034","9820","31"
"SECO 20 MM","5034","0053","166"
"SECO 20 MM","5034","1986","353"
"SECO 10 MM","5034","4244","280"
"SECO 20 MM","5034","8780","85"
"SECO 10 MM","5034","5833","144"
"SECO 20 MM","5034","1603","50"
"SECO 10 MM","5034","6138","145"
"SECO 10 MM","5034","2825","348"
"SECO 20 MM","5034","1013","11"
"SECO 10 MM","5034","5135","300"
"SECO 20 MM","5034","1226","66"
"SECO 10 MM","5034","6766","355"
"SECO 20 MM","5034","9001","351"
"SECO 10 MM","5034","7467","314"
"SECO 10 MM","5034","0111","226"
"SECO 10 MM","5034","0396","281"
"SECO 10 MM","5034","5122","141"
"SECO 10 MM","5034","9982","58"
"SECO 10 MM","5034","9477","349"
"SECO 200 MM","5034","0271","113"
"SECO 300 MM","5034","9305","284"
"SECO 200 MM","5034","6707","175"
"SECO 200 MM","5034","6138","356"
"SECO 300 MM","5034","8047","303"
"SECO 20 MM","5034","8405","136"
"SECO 300 MM","5034","6727","66"
"SECO 200 MM","5035","7775","331"
"SECO 200 MM","5035","4642","172"
"SECO 300 MM","5035","5431","135"
"SECO 300 MM","5035","9569","52"
"SECO 300 MM","5035","0814","369"
"SECO 200 MM","5035","2808","309"
"SECO 200 MM","5035","3472","315"
"SECO 100 MM","5035","8528","273"
"SECO 100 MM","5035","8958","150"
"SECO 100 MM","5035","2609","25"
"SECO 100 MM","5035","8958","5"
"SECO 100 MM","5035","3375","232"
"SECO 100 MM","5035","9567","341"
"SECO 50 MM","5035","3265","340"
"SECO 50 MM","5035","2349","220"
"SECO 100 MM","5035","2806","373"
"SECO 50 MM","5035","6928","86"
"SECO 50 MM","5035","2455","18"
"SECO 50 MM","5035","1302","234"
"SECO 50 MM","5035","2479","240"
"SECO 50 MM","5035","7953","80"
"SECO 50 MM","5035","4618","88"
"SECO 50 MM","5035","9988","236"
"SECO 50 MM","5035","9307","273"
"SECO 20 MM","5035","3395","256"
"SECO 20 MM","5035","0266","317"
"SECO 20 MM","5035","0749","159"
"SECO 20 MM","5035","0677","134"
"SECO 20 MM","5035","0186","192"
"SECO 20 MM","5035","2026","284"
"SECO 20 MM","5035","4778","53"
"SECO 20 MM","5035","5846","214"
"SECO 20 MM","5035","7405","281"
"SECO 10 MM","5035","7302","103"
"SECO 20 MM","5035","6491","353"
"SECO 20 MM","5035","3238","62"
"SECO 10 MM","5035","2123","307"
"SECO 20 MM","5035","4992","353"
"SECO 10 MM","5035","8038","356"
"SECO 10 MM","5035","1848","273"
"SECO 10 MM","5035","1010","354"
"SECO 10 MM","5035","6503","140"
"SECO 10 MM","5035","6941","283"
"SECO 10 MM","5035","4600","22"
"SECO 10 MM","5035","0533","156"
"PREMIO MAYOR","5035","6363","282"
"SECO 500 MM","5035","8357","192"
"SECO 5 MM","5035","8635","123"
"SECO 5 MM","5035","4530","193"
"SECO 5 MM","5035","6245","201"
"SECO 5 MM","5035","2602","260"
"SECO 5 MM","5035","5042","176"
"SECO 5 MM","5035","2223","50"
"SECO 5 MM","5035","7348","281"
"SECO 5 MM","5035","7136","194"
"SECO 5 MM","5035","6720","229"
"SECO 5 MM","5035","6338","185"
"SECO 5 MM","5035","7529","306"
"SECO 5 MM","5035","4036","129"
"SECO 5 MM","5035","9795","163"
"SECO 5 MM","5035","0863","189"
"SECO 5 MM","5035","0928","13"
"SECO 5 MM","5035","1540","225"
"SECO 5 MM","5035","8133","51"
"SECO 5 MM","5035","2385","21"
"SECO 5 MM","5035","7149","300"
"SECO 5 MM","5035","2518","0"
"SECO 10 MM","5035","8757","278"
"SECO 10 MM","5035","9263","260"
"SECO 10 MM","5035","1944","32"
"SECO 10 MM","5035","8798","191"
"SECO 10 MM","5035","0673","6"
"SECO 20 MM","5035","6617","204"
"SECO 20 MM","5035","4941","325"
"SECO 10 MM","5035","9476","67"
"SECO 10 MM","5035","4988","129"
"SECO 10 MM","5035","6743","218"
"SECO 20 MM","5035","6304","237"
"SECO 200 MM","5036","0046","235"
"SECO 200 MM","5036","9366","220"
"SECO 300 MM","5036","8602","236"
"SECO 300 MM","5036","8205","25"
"SECO 300 MM","5036","7674","263"
"SECO 200 MM","5036","1131","196"
"SECO 200 MM","5036","1130","262"
"SECO 100 MM","5036","9731","232"
"SECO 100 MM","5036","6652","279"
"SECO 100 MM","5036","7810","261"
"SECO 100 MM","5036","2327","112"
"SECO 100 MM","5036","3734","222"
"SECO 100 MM","5036","4356","320"
"SECO 100 MM","5036","8040","303"
"SECO 50 MM","5036","0716","297"
"SECO 50 MM","5036","8575","371"
"SECO 50 MM","5036","6712","219"
"SECO 50 MM","5036","1745","321"
"SECO 50 MM","5036","1300","344"
"SECO 50 MM","5036","8470","279"
"SECO 50 MM","5036","3731","73"
"SECO 50 MM","5036","6842","150"
"SECO 50 MM","5036","3425","70"
"SECO 20 MM","5036","8298","12"
"SECO 50 MM","5036","9475","284"
"SECO 20 MM","5036","0875","339"
"SECO 20 MM","5036","3813","225"
"SECO 20 MM","5036","6221","34"
"SECO 20 MM","5036","3579","18"
"SECO 20 MM","5036","7241","55"
"SECO 20 MM","5036","4356","365"
"SECO 20 MM","5036","5965","250"
"SECO 20 MM","5036","7678","118"
"SECO 20 MM","5036","2693","244"
"SECO 20 MM","5036","9176","247"
"SECO 20 MM","5036","5275","181"
"SECO 20 MM","5036","8375","210"
"SECO 10 MM","5036","0852","151"
"SECO 10 MM","5036","1078","330"
"SECO 10 MM","5036","4179","105"
"SECO 10 MM","5036","4392","284"
"SECO 10 MM","5036","9007","365"
"SECO 10 MM","5036","3466","102"
"SECO 10 MM","5036","9311","120"
"SECO 10 MM","5036","8578","248"
"SECO 10 MM","5036","0420","340"
"SECO 10 MM","5036","8875","198"
"SECO 20 MM","5036","3230","369"
"SECO 10 MM","5036","1192","198"
"SECO 20 MM","5036","7028","137"
"SECO 10 MM","5036","4699","33"
"SECO 10 MM","5036","8367","286"
"SECO 10 MM","5036","4754","207"
"SECO 10 MM","5036","2615","248"
"SECO 10 MM","5036","2978","74"
"SECO 5 MM","5036","9755","297"
"SECO 5 MM","5036","5351","296"
"SECO 5 MM","5036","5588","286"
"SECO 5 MM","5036","1944","32"
"SECO 5 MM","5036","6429","222"
"SECO 5 MM","5036","2672","106"
"SECO 5 MM","5036","3820","335"
"SECO 5 MM","5036","8205","200"
"SECO 5 MM","5036","7172","25"
"SECO 5 MM","5036","9324","89"
"SECO 5 MM","5036","7853","238"
"SECO 5 MM","5036","5511","177"
"SECO 5 MM","5036","6177","67"
"SECO 5 MM","5036","0411","368"
"SECO 5 MM","5036","9156","157"
"SECO 5 MM","5036","8722","40"
"SECO 5 MM","5036","5556","142"
"SECO 5 MM","5036","2607","309"
"SECO 5 MM","5036","3842","64"
"SECO 5 MM","5036","1778","109"
"SECO 10 MM","5036","0165","233"
"PREMIO MAYOR","5036","5689","171"
"SECO 500 MM","5036","5534","183"
"SECO 200 MM","5025","2457","240"
"SECO 300 MM","5025","2454","197"
"SECO 200 MM","5025","7615","96"
"SECO 100 MM","5025","9582","15"
"SECO 200 MM","5025","2288","230"
"SECO 300 MM","5025","1604","309"
"SECO 200 MM","5025","7650","117"
"SECO 100 MM","5025","0749","247"
"SECO 100 MM","5025","2174","372"
"SECO 100 MM","5025","8589","8"
"SECO 100 MM","5025","5757","278"
"SECO 100 MM","5025","9214","288"
"PREMIO MAYOR","5025","2120","120"
"SECO 300 MM","5025","7835","220"
"SECO 100 MM","5025","3782","184"
"SECO 50 MM","5025","7351","137"
"SECO 50 MM","5025","3550","102"
"SECO 50 MM","5025","8768","279"
"SECO 50 MM","5025","9745","8"
"SECO 50 MM","5025","7067","274"
"SECO 50 MM","5025","0280","193"
"SECO 50 MM","5025","3491","288"
"SECO 50 MM","5025","5488","354"
"SECO 50 MM","5025","6491","249"
"SECO 50 MM","5025","3305","71"
"SECO 50 MM","5025","0348","132"
"SECO 50 MM","5025","1328","130"
"SECO 50 MM","5025","4935","36"
"SECO 50 MM","5025","1560","329"
"SECO 50 MM","5025","9198","109"
"SECO 10 MM","5025","8919","87"
"SECO 10 MM","5025","6538","326"
"SECO 10 MM","5025","4677","122"
"SECO 10 MM","5025","7186","104"
"SECO 10 MM","5025","5254","97"
"SECO 10 MM","5025","9377","231"
"SECO 10 MM","5025","1788","108"
"SECO 10 MM","5025","0013","167"
"SECO 10 MM","5025","9103","104"
"SECO 10 MM","5025","5523","276"
"SECO 10 MM","5025","1060","191"
"SECO 10 MM","5025","8555","360"
"SECO 10 MM","5025","3286","47"
"SECO 10 MM","5025","2453","43"
"SECO 10 MM","5025","3002","340"
"SECO 10 MM","5025","3407","58"
"SECO 10 MM","5025","8100","299"
"SECO 10 MM","5025","7825","126"
"SECO 10 MM","5025","1487","73"
"SECO 10 MM","5025","6578","248"
"SECO 50 MM","5025","4025","270"
"SECO 10 MM","5025","8341","292"
"SECO 50 MM","5025","2031","33"
"SECO 10 MM","5025","9616","32"
"SECO 10 MM","5025","2250","213"
"SECO 50 MM","5025","9039","43"
"SECO 10 MM","5025","9085","95"
"SECO 50 MM","5025","0423","273"
"SECO 10 MM","5025","2184","250"
"SECO 10 MM","5025","8322","86"
"SECO 50 MM","5025","9097","167"
"SECO 20 MM","5025","9970","17"
"SECO 10 MM","5025","5062","273"
"SECO 20 MM","5025","5574","340"
"SECO 10 MM","5025","6774","195"
"SECO 20 MM","5025","5118","229"
"SECO 10 MM","5025","5059","89"
"SECO 10 MM","5025","9600","96"
"SECO 20 MM","5025","9782","264"
"SECO 20 MM","5025","6238","180"
"SECO 20 MM","5025","5616","120"
"SECO 20 MM","5025","8572","372"
"SECO 20 MM","5025","3660","125"
"SECO 20 MM","5025","1264","302"
"SECO 20 MM","5025","4990","192"
"SECO 20 MM","5025","5399","270"
"SECO 20 MM","5025","9534","136"
"SECO 20 MM","5025","1872","299"
"SECO 20 MM","5025","6994","205"
"SECO 20 MM","5025","7741","40"
"SECO 20 MM","5025","3654","49"
"SECO 20 MM","5025","3432","173"
"SECO 20 MM","5025","5005","51"
"SECO 20 MM","5025","7303","215"
"SECO 20 MM","5025","9311","358"
"SECO 20 MM","5025","7652","106"
"SECO 20 MM","5025","6061","341"
"SECO 20 MM","5025","5123","101"
"SECO 20 MM","5025","2744","168"
"SECO 20 MM","5025","2256","159"
"SECO 300 MM","5040","9731","373"
"SECO 500 MM","5040","6498","244"
"SECO 300 MM","5040","4276","122"
"SECO 200 MM","5040","7111","278"
"SECO 200 MM","5040","2502","324"
"SECO 200 MM","5040","1126","28"
"SECO 200 MM","5040","1984","345"
"SECO 100 MM","5040","0122","324"
"SECO 100 MM","5040","3684","366"
"SECO 100 MM","5040","7805","293"
"SECO 100 MM","5040","2430","273"
"SECO 100 MM","5040","0460","245"
"SECO 100 MM","5040","4798","56"
"SECO 100 MM","5040","6254","293"
"SECO 50 MM","5040","4937","238"
"SECO 50 MM","5040","6904","254"
"SECO 50 MM","5040","5375","264"
"SECO 50 MM","5040","6782","225"
"SECO 50 MM","5040","9713","8"
"SECO 50 MM","5040","5024","360"
"SECO 50 MM","5040","9955","143"
"SECO 50 MM","5040","1699","64"
"SECO 50 MM","5040","4947","41"
"SECO 50 MM","5040","0285","327"
"SECO 20 MM","5040","1332","348"
"SECO 20 MM","5040","7230","114"
"SECO 20 MM","5040","2270","206"
"SECO 20 MM","5040","6629","50"
"SECO 20 MM","5040","3343","118"
"SECO 20 MM","5040","6713","376"
"SECO 20 MM","5040","4437","128"
"SECO 20 MM","5040","2405","144"
"SECO 20 MM","5040","2875","376"
"SECO 20 MM","5040","3113","166"
"SECO 20 MM","5040","1187","253"
"SECO 20 MM","5040","5143","84"
"SECO 20 MM","5040","0708","5"
"SECO 20 MM","5040","1800","48"
"SECO 10 MM","5040","2907","71"
"SECO 10 MM","5040","9027","165"
"SECO 20 MM","5040","6670","27"
"SECO 10 MM","5040","8259","11"
"SECO 10 MM","5040","2569","255"
"SECO 10 MM","5040","7258","118"
"SECO 10 MM","5040","3507","257"
"SECO 10 MM","5040","1134","314"
"SECO 10 MM","5040","5042","252"
"SECO 5 MM","5040","6154","98"
"SECO 5 MM","5040","6429","230"
"SECO 5 MM","5040","4329","115"
"SECO 5 MM","5040","3332","102"
"SECO 5 MM","5040","7961","341"
"SECO 5 MM","5040","6998","66"
"SECO 5 MM","5040","8718","320"
"SECO 5 MM","5040","8840","295"
"SECO 5 MM","5040","4715","156"
"SECO 5 MM","5040","7471","63"
"SECO 5 MM","5040","3797","186"
"SECO 5 MM","5040","9310","331"
"SECO 5 MM","5040","0976","192"
"SECO 5 MM","5040","1061","62"
"SECO 5 MM","5040","4225","318"
"SECO 5 MM","5040","6924","298"
"SECO 5 MM","5040","9312","293"
"SECO 5 MM","5040","7103","231"
"SECO 5 MM","5040","5747","241"
"SECO 5 MM","5040","4957","325"
"SECO 10 MM","5040","0938","164"
"SECO 10 MM","5040","6973","227"
"SECO 10 MM","5040","1266","258"
"SECO 10 MM","5040","9842","66"
"SECO 10 MM","5040","4604","341"
"SECO 10 MM","5040","1324","367"
"SECO 10 MM","5040","7110","167"
"SECO 10 MM","5040","5167","306"
"SECO 10 MM","5040","6577","172"
"SECO 300 MM","5040","7885","352"
"PREMIO MAYOR","5040","6402","256"
"SECO 300 MM","5041","2463","68"
"SECO 200 MM","5041","0888","0"
"SECO 200 MM","5041","2937","5"
"SECO 200 MM","5041","6644","16"
"SECO 300 MM","5041","2443","17"
"SECO 300 MM","5041","1095","96"
"SECO 200 MM","5041","2888","117"
"SECO 100 MM","5041","4622","197"
"SECO 100 MM","5041","6474","226"
"SECO 100 MM","5041","5944","371"
"SECO 100 MM","5041","0435","141"
"SECO 100 MM","5041","1753","71"
"SECO 100 MM","5041","1281","340"
"SECO 50 MM","5041","1642","3"
"SECO 5 MM","5041","4590","259"
"SECO 5 MM","5041","2262","106"
"SECO 50 MM","5041","5722","172"
"SECO 100 MM","5041","0328","96"
"SECO 50 MM","5041","2458","261"
"SECO 50 MM","5041","9197","66"
"SECO 5 MM","5041","8196","41"
"SECO 5 MM","5041","5093","288"
"SECO 5 MM","5041","6221","251"
"SECO 50 MM","5041","5535","250"
"SECO 50 MM","5041","6164","371"
"SECO 5 MM","5041","3607","42"
"SECO 50 MM","5041","1350","253"
"SECO 5 MM","5041","0845","117"
"SECO 50 MM","5041","0939","19"
"SECO 5 MM","5041","4354","292"
"SECO 5 MM","5041","1819","231"
"SECO 50 MM","5041","3863","311"
"SECO 20 MM","5041","8880","373"
"SECO 5 MM","5041","4593","299"
"SECO 5 MM","5041","7988","341"
"SECO 50 MM","5041","1214","96"
"SECO 5 MM","5041","6823","198"
"SECO 20 MM","5041","4423","83"
"SECO 20 MM","5041","6657","339"
"SECO 20 MM","5041","5317","233"
"SECO 10 MM","5041","8511","354"
"SECO 20 MM","5041","6297","108"
"SECO 20 MM","5041","8226","187"
"SECO 5 MM","5041","7278","322"
"SECO 10 MM","5041","5961","222"
"SECO 10 MM","5041","5001","237"
"SECO 10 MM","5041","3511","251"
"SECO 20 MM","5041","2391","82"
"SECO 20 MM","5041","3294","152"
"SECO 20 MM","5041","2145","38"
"SECO 20 MM","5041","9739","276"
"SECO 10 MM","5041","4465","290"
"SECO 10 MM","5041","9434","91"
"SECO 10 MM","5041","5580","108"
"SECO 20 MM","5041","7913","87"
"SECO 20 MM","5041","5050","362"
"SECO 10 MM","5041","4419","14"
"SECO 10 MM","5041","6504","302"
"SECO 10 MM","5041","4619","219"
"SECO 20 MM","5041","3506","263"
"SECO 20 MM","5041","7050","295"
"SECO 10 MM","5041","3505","212"
"SECO 10 MM","5041","9775","340"
"SECO 10 MM","5041","9922","51"
"SECO 10 MM","5041","5820","286"
"SECO 20 MM","5041","5134","2"
"PREMIO MAYOR","5041","7199","66"
"SECO 10 MM","5041","7702","83"
"SECO 10 MM","5041","5987","182"
"SECO 10 MM","5041","6789","113"
"SECO 500 MM","5041","2018","307"
"SECO 5 MM","5041","0666","41"
"SECO 5 MM","5041","5678","15"
"SECO 5 MM","5041","3658","151"
"SECO 5 MM","5041","7238","147"
"SECO 5 MM","5041","3002","43"
"SECO 5 MM","5041","3344","18"
"SECO 5 MM","5041","1040","268"
